Tahun,Indonesia
1970,25.58
1971,25.35
1972,25.6
1973,25.76
1974,25.41
1975,25.44
1976,25.26
1977,25.4
1978,25.49
1979,25.6
1980,25.6
1981,25.68
1982,25.61
1983,25.81
1984,25.32
1985,25.56
1986,25.65
1987,25.88
1988,25.77
1989,25.62
1990,25.85
1991,25.79
1992,25.79
1993,25.75
1994,25.78
1995,25.82
1996,25.82
1997,25.93
1998,26.18
1999,25.77
2000,25.85
2001,25.91
2002,26.04
2003,25.9
2004,25.92
2005,25.93
2006,25.82
2007,25.84
2008,25.71
2009,25.98
2010,26.08
2011,25.88
2012,25.99
2013,26.05
2014,26.04
2015,26.12
2016,26.23
2017,26.03
2018,26.04
2019,26.2
2020,26.18
